phase_id,question_type,number_of_questions,question1,question2,answer_choices,expected_return_type,expected_answers_question1,expected_answers_question2,comments
preparation,dictionary_return,1,Can you get me the utensil for stirring? ,N/A,N/A,dict,"{'object': 'spatula', 'cleanliness': 'clean', 'room' : 'kitchen', 'location': 'drawer'} 
{'object': 'spoon', 'cleanliness': 'clean', 'room' : 'kitchen', 'location': 'drawer'}
{'object': 'ladle', 'cleanliness': 'clean', 'room' : 'kitchen', 'location': 'drawer'}",N/A,N/A
preparation,dictionary_return,1,How do I open this coconut?,N/A,N/A,dict,"{'object': 'coconut opener', 'room': 'kitchen', 'location': 'drawer'}
{'object': 'hammer', 'room': 'storage room', 'location': 'cabinet'}
{'object': 'screw driver', 'room': 'storage room', 'location': 'cabinet'}
{'object': 'knife', 'room':'kitchen','location':'drawer'}
{'object': 'knife', 'room':'kitchen','location':'cutlery drawer'}",N/A,N/A
preparation,dictionary_return,1,"I can't open this metal can, fetch me something that will help",N/A,N/A,dict,"{'object': 'can opener', 'room': 'kitchen', 'location': 'drawer'}
{'object': 'can opener', 'room': 'kitchen', 'location': 'cutlery drawer'}
{'object': 'can opener', 'room': 'kitchen', 'location': 'cabinet'}",N/A,N/A
preparation,dictionary_return,1,"The glass has dried up, can you put it away?",N/A,N/A,dict,"{'object': 'glass', 'room': 'kitchen', 'location': 'sink'}",N/A,N/A
preparation,dictionary_return,1,Where do i get 'yolk'?,N/A,N/A,dict,"{'object': 'egg', 'room': 'kitchen', 'location': 'fridge'}
{'object': 'eggs', 'room': 'kitchen', 'location': 'fridge'}
{'object': 'egg', 'room': 'kitchen', 'location': 'refrigerator'}
{'object': 'eggs', 'room': 'kitchen', 'location': 'refrigerator'}
{'object': 'egg', 'room': 'kitchen', 'location': 'pantry'}
{'object': 'eggs', 'room': 'kitchen', 'location': 'pantry'}",N/A,N/A
preparation,dictionary_return,1,What should i use to seperate the yolk from the egg white? I don't want to get my hands dirty,N/A,N/A,dict,"{'object': 'Egg separator', 'room': 'kitchen', 'location': 'drawer'}
{'object': 'funnel', 'room': 'kitchen', 'location': 'drawer'}
{'object': 'spoon', 'room': 'kitchen', 'location': 'drawer'}",N/A,N/A
preparation,dictionary_return,1,"I want to start grilling, but this barbecue charcoal bag just won't open, fetch me a tool that would help!",N/A,N/A,dict,"{'object': 'scissors', 'room': 'kitchen', 'location': 'drawer'}
{'object': 'knife', 'room': 'kitchen', 'location': 'drawer'}",N/A,N/A
preparation,dictionary_return,1,"I need to prepare a sifter, what is that?",N/A,N/A,dict,"{'object': 'Sieve', 'room': 'kitchen', 'location': 'drawer'}
{'object': 'Sieve', 'room': 'kitchen', 'location': 'cabinet'} ",N/A,N/A
preparation,dictionary_return,1,I need something to put this lettuce in after washing it,N/A,N/A,dict,"{'object': 'strainer', 'room': 'kitchen', 'location': 'cabinet'}
{'object': 'strainer', 'room': 'kitchen', 'location': 'drawer'}
{'object': 'bowl', 'room': 'kitchen', 'location': 'cabinet'}",N/A,N/A
preparation,dictionary_return,1,"I just picked up vegetables from the market, what is the first thing I should do to them before cooking?",N/A,N/A,dict,"{'object': 'vegetables', 'room': 'kitchen', 'location': 'sink', 'action': 'wash them'}",N/A,N/A
